system:index,CC_area,CC_total_port,DC_area,DIC_area,DIC_max,IC_area,LS_DATE,LS_ID: ,LS_SAT,RGI_ID,SC_area,SC_max,SC_mean,SC_median,SC_min,SC_stdev,cc_TSLrange_percent,class_coverage,glacier_DEM_max,glacier_DEM_min,glacier_area,tool_version,.geo
0000b1d8784c8fd80023_2_LC08_134040_20200309,0.4077998443360047,20.304893437896745,0.0,0.017103994333373052,5142,0.017103994333373052,2020-03-09,LC08_L1TP_134040_20200309_20200314_01_T1,LANDSAT_8,RGI60-15.12266,1.5834781427298057,4369,4359.224505244943,4363.0,4338,9.540580882894599,53.3723938063607,97.30182404969148,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20200317,1.327822065606011,73.82398405648402,0.0,0.02250536588736104,5013,0.02250536588736104,2020-03-17,LE07_L1TP_134040_20200317_20200412_01_T1,LANDSAT_7,RGI60-15.12266,0.4483048866192689,4305,4293.451612903226,4293.0,4277,7.635007094413461,77.74871655882983,87.13989716652945,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200325,0.02340548938505351,1.1333852350241762,0.0,0.09362230881739378,5142,0.09362230881739378,2020-03-25,LC08_L1TP_134040_20200325_20200409_01_T1,LANDSAT_8,RGI60-15.12266,1.948067772537331,4298,4286.603195621469,4288.0,4257,10.177219788134886,0.0,100.04947551062085,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20200418,1.8661484855247825,100.0,0.0,0.0,NaN,0.0,2020-04-18,LE07_L1TP_134040_20200418_20200514_01_T1,LANDSAT_7,RGI60-15.12266,0.0,NaN,NaN,NaN,NaN,NaN,100,90.41090935213468,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200426,9.002098520716976E-4,0.04201651902448347,0.0,0.003600870435594754,4911,0.003600870435594754,2020-04-26,LC08_L1TP_134040_20200426_20200509_01_T1,LANDSAT_8,RGI60-15.12266,2.1380130379442766,4306,4290.407026331821,4291.0,4257,11.711727934570357,0.0,103.80023413351537,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200528,0.0072016851242882,0.3337485370436688,0.0,0.015303624719139378,5022,0.015303624719139378,2020-05-28,LC08_L1TP_134040_20200528_20200608_01_T1,LANDSAT_8,RGI60-15.12266,2.135312420485948,4306,4290.407026331821,4291.0,4257,11.711727934570357,0.0,104.54166171430658,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20200824,1.8292391719158714,98.11682767747709,0.035108835734137575,0.035108835734137575,4394,0.0,2020-08-24,LE07_L1TP_134040_20200824_20200920_01_T1,LANDSAT_7,RGI60-15.12266,0.0,NaN,NaN,NaN,NaN,NaN,100,90.32368250964232,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_2_LC08_134040_20200901,0.7516821398201183,35.50178379012603,0.8795118952212324,1.2314946422236703,5351,0.35198272790545915,2020-09-01,LC08_L1TP_134040_20200901_20200906_01_T1,LANDSAT_8,RGI60-15.12266,0.13413127091971966,4626,4623.0304635761595,4623.0,4616,3.39420994581742,28.479911615409005,102.57905582679798,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20200909,1.1144698150143035,63.22793814421497,0.3393803876958056,0.5239236717582861,5314,0.18454331730797857,2020-09-09,LE07_L1TP_134040_20200909_20201005_01_T1,LANDSAT_7,RGI60-15.12266,0.12422895274482464,4672,4667.90282902829,4670.0,4659,4.4651427748729375,50.175183355771594,85.39529265693187,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b1d8784c8fd80023_1_2_LE07_134040_20201011,1.0163485754461656,56.393852528946894,0.06841671404928762,0.2853675016686924,5126,0.21695081565673724,2020-10-11,LE07_L1TP_134040_20201011_20201107_01_T1,LANDSAT_7,RGI60-15.12266,0.5005168255209415,4584,4575.621333333335,4578.0,4560,7.623064417352848,54.03143647691476,87.31433670775105,5351,4268,2.0640744561659705,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
